variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day
Aramon_Noir,22,22Mpt5,NA,1996,NA,3/6/96,NA,NA
Aramon_Noir,22,22Mpt5,NA,2001,11/3/01,27/5/01,30/8/01,28/8/01
Aramon_Noir,22,22Mpt5,NA,2002,12/3/02,27/5/02,29/7/02,3/9/02
Aramon_Noir,22,22Mpt5,NA,2003,23/3/03,30/5/03,5/8/03,25/8/03
Aramon_Noir,22,22Mpt5,NA,2004,23/3/04,4/6/04,12/8/04,17/9/04
Aramon_Noir,22,22Mpt5,NA,2005,5/4/05,5/6/05,8/8/05,10/9/05
Aramon_Noir,22,22Mpt5,NA,2006,28/3/06,28/5/06,4/8/06,6/9/06
Aramon_Noir,22,22Mpt5,NA,2007,6/3/07,16/5/07,24/7/07,29/8/07
Aramon_Noir,22,22Mpt5,NA,2008,10/3/08,27/5/08,7/8/08,3/9/08
Aramon_Noir,22,22Mpt5,NA,2009,13/3/09,26/5/09,27/7/09,24/8/09
Aramon_Noir,22,22Mpt5,NA,2010,25/3/10,1/6/10,2/8/10,20/9/10
Aramon_Noir,22,22Mpt5,NA,2011,14/3/11,17/5/11,29/7/11,9/9/11
Aramon_Noir,22,22Mpt5,NA,2012,21/3/12,28/5/12,3/8/12,6/9/12
Aramon_Noir,22,22Mpt5,NA,2013,21/3/13,3/6/13,12/8/13,NA
Aramon_Noir,22,22Mpt6,NA,1956,30/3/56,NA,NA,17/9/56
Aramon_Noir,22,22Mpt6,NA,1957,13/3/57,NA,NA,NA
Aramon_Noir,22,22Mpt6,NA,1958,29/3/58,NA,NA,10/9/58
Aramon_Noir,22,22Mpt6,NA,1959,20/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt6,NA,1960,12/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt7,NA,1956,28/3/56,NA,NA,24/9/56
Aramon_Noir,22,22Mpt7,NA,1957,13/3/57,NA,NA,24/9/57
Aramon_Noir,22,22Mpt7,NA,1958,31/3/58,NA,NA,12/9/58
Aramon_Noir,22,22Mpt7,NA,1959,22/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt7,NA,1960,14/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt7,NA,1976,NA,NA,12/8/76,NA
Aramon_Noir,22,22Mpt7,NA,1977,NA,NA,16/8/77,NA
Aramon_Noir,22,22Mpt7,NA,1978,NA,NA,16/8/78,NA
Aramon_Noir,22,22Mpt7,NA,1979,NA,31/5/79,NA,NA
Aramon_Noir,22,22Mpt7,NA,1980,NA,5/6/80,NA,NA
Aramon_Noir,22,22Mpt7,NA,1981,25/3/81,5/6/81,NA,NA
Aramon_Noir,22,22Mpt7,NA,1982,NA,28/5/82,NA,NA
Aramon_Noir,22,22Mpt7,NA,1983,21/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt7,NA,1986,22/3/86,NA,NA,NA
Aramon_Noir,22,22Mpt7,NA,1987,NA,7/6/87,6/8/87,NA
Aramon_Noir,22,22Mpt7,NA,1988,14/3/88,1/6/88,1/8/88,12/9/88
Aramon_Noir,22,22Mpt7,NA,1995,13/3/95,2/6/95,16/8/95,11/9/95
