,variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,BB,FLOW,VER,MAT,review
3119,Chasselas,585,585Mtp67,NA,1982,17/3/82,NA,5/7/82,NA,17/3/1982,NA,5/7/82,NA,NA
3120,Chasselas,585,585Mtp67,NA,1983,28/3/83,NA,22/7/83,NA,28/3/1983,NA,22/7/1983,NA,NA
3121,Chasselas,585,585Mtp67,NA,1985,1/4/85,NA,NA,NA,1/4/85,NA,NA,NA,NA
3122,Chasselas,585,585Mtp67,NA,1986,24/3/86,NA,NA,NA,24/3/1986,NA,NA,NA,NA
3123,Chasselas,585,585Mtp67,NA,1987,NA,9/6/87,24/7/87,17/8/87,NA,9/6/87,24/7/1987,17/8/1987,NA
3124,Chasselas,585,585Mtp67,NA,1988,25/3/88,30/5/88,22/7/88,12/8/88,25/3/1988,30/5/1988,22/7/1988,12/8/88,NA
3125,Chasselas,585,585Mtp67,NA,1994,NA,25/5/94,NA,NA,NA,25/5/1994,NA,NA,NA
3126,Chasselas,585,585Mtp67,NA,1995,16/3/95,NA,NA,16/8/95,16/3/1995,NA,NA,16/8/1995,NA
3127,Chasselas,585,585Mtp67,NA,1996,16/3/96,NA,NA,NA,16/3/1996,NA,NA,NA,NA
3128,Chasselas,585,585Mtp67,NA,1997,6/3/97,17/5/97,8/7/97,27/7/97,6/3/97,17/5/1997,8/7/97,27/7/1997,NA
3129,Chasselas,585,585Mtp67,NA,1998,16/3/98,NA,NA,NA,16/3/1998,NA,NA,NA,NA
3130,Chasselas,585,585Mtp67,NA,1999,19/3/99,24/5/99,8/7/99,10/8/99,19/3/1999,24/5/1999,8/7/99,10/8/99,NA
3131,Chasselas,585,585Mtp67,NA,2000,15/3/00,29/5/00,17/7/00,17/8/00,15/3/2000,29/5/2000,17/7/2000,17/8/2000,NA
3132,Chasselas,585,585Mtp67,NA,2010,1/4/10,3/6/10,19/7/10,27/8/10,1/4/10,3/6/10,19/7/2010,27/8/2010,NA
3133,Chasselas,585,585Mtp67,NA,2011,17/3/11,14/5/11,11/7/11,17/8/11,17/3/2011,14/5/2011,11/7/11,17/8/2011,NA
3134,Chasselas,585,585Mtp67,NA,2012,27/3/12,29/5/12,26/7/12,20/8/12,27/3/2012,29/5/2012,26/7/2012,20/8/2012,NA
3135,Chasselas,585,585Mtp68,NA,1964,20/3/64,NA,NA,4/8/64,20/3/1964,NA,NA,4/8/64,NA
3136,Chasselas,585,585Mtp68,NA,1965,27/3/65,NA,NA,5/8/65,27/3/1965,NA,NA,5/8/65,NA
3137,Chasselas,585,585Mtp68,NA,1966,12/3/66,NA,NA,10/8/66,12/3/66,NA,NA,10/8/66,NA
3138,Chasselas,585,585Mtp68,NA,1967,10/3/67,NA,NA,NA,10/3/67,NA,NA,NA,NA
3139,Chasselas,585,585Mtp68,NA,1968,26/3/68,NA,NA,12/8/68,26/3/1968,NA,NA,12/8/68,NA
3140,Chasselas,585,585Mtp68,NA,1969,25/3/69,NA,NA,12/8/69,25/3/1969,NA,NA,12/8/69,NA
3141,Chasselas,585,585Mtp68,NA,1970,28/3/70,NA,NA,NA,28/3/1970,NA,NA,NA,NA
