variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,notes,File info,,,
Verdejo,1407,125A3,3,1974,23/9/1974,,,21/2/1975,,2015-07-12 19.01.50.jpg,,,
Verdejo,1407,125A3,,1993,14/9/1993,,,11/2/94,clone number not given,2015-07-12 19.01.55.jpg,,,
Verdejo,1407,125A3,,1989,29/8/1989,,,29/1/1990,clone number not given,2015-07-12 19.02.00.jpg,,,
Cornifesto,1487,lago R21S136140,,1995,5/9/95,,,23/2/1996,clone number not given,2015-07-12 19.12.52.jpg,,,
Tinta cao,1488,713A2,,1981,18/9/1981,,,26/2/1982,clone number not given,2015-07-12 19.14.29.jpg,,,
Touriga,1493,Ang 11WS610,,1996,23/9/1996,,,3/3/97,clone number not given,2015-07-12 19.16.35.jpg,,,
Touriga,1493,Ang R11WA610,2,1993,8/9/93,,,14/2/1994,,2015-07-12 19.16.40.jpg,,,
Touriga,1493,713A5A6,2,1988,7/9/88,,,10/3/89,,2015-07-12 19.16.45.jpg,,,
Touriga,1493,AngR12WS171819,5,1981,22/9/1981,,,27/2/1982,,2015-07-12 19.16.50.jpg,,,
Montagna,1493,6110S7,3,1972,7/9/72,,,28/6/1973,,2015-07-12 19.16.55.jpg,,,
Tempranillo,1369,Ang R11W111A20,7,1993,8/9/93,,,14/2/1994,,2015-07-12 18.57.16.jpg,,,
Tempranillo,1369,AngR7EstS2630,10,1980,21/9/1980,,,2/4/81,,2015-07-12 18.57.26.jpg,,,
Periquita,1521,AngR12WS3135,,1994,6/9/94,,,17/2/1995,clone number not given,2015-07-14 16.21.18.jpg,,,
Verdelho du Dao,296,715A1,,1991,18/9/1991,,,3/2/92,clone number not given,2015-07-14 16.32.46.jpg,,,
Velitiner,285,418S8,,1991,11/9/91,,,3/2/92,clone number not given,2015-07-14 16.36.34.jpg,,,
Velitiner,285,418S8,,1981,7/9/81,,,5/3/82,clone number not given,2015-07-14 16.36.34.jpg,,,
Tinta de Madeira,,46A3,,1965,3/9/65,,,1/7/66,"variety ID, clone number not given",2015-07-14 16.41.39.jpg,,,
Verdelho de madere,316,421A9S25,,1968,5/9/68,,,25/4/1969,clone number not given,2015-07-14 16.44.01.jpg,,,
Furmint ,25,513S5,,1991,17/9/1991,,,3/2/92,clone number not given,2015-07-14 16.51.22.jpg,,,
Furmint ,25,513S7,,1988,12/9/88,,,27/1/1989,clone number not given,2015-07-14 16.51.28.jpg,,,
Furmint ,25,513S6S7,2,1966,8/9/66,,,6/2/67,,2015-07-14 16.51.32.jpg,,,
Ezerjo,1612,721A8,,1992,8/9/92,,,19/2/1993,clone number not given,2015-07-14 16.53.58.jpg,,,
Ezerjo,1612,721A8,,1965,5/9/65,,,10/1/66,clone number not given,2015-07-14 16.53.41.jpg,,,
Muscat rouge fonc̩,558,76A8,,1990,22/8/1990,,,7/2/91,clone number not given,2015-07-12 16.59.48.jpg,,,
Forastera,2401,132S1,,1989,12/9/89,,,29/1/1990,clone number not given,2015-07-12 18.44.14.jpg,,,
Forastera,2401,132S1,,2000,20/03/2000,,,,"clone number,mat_day not given",2015-07-12 18.44.25.jpg,,,
Parellada,1456,16S146,,1959,16/9/1959,,,13/11/1959,clone number not given,2015-07-12 18.49.25.jpg,,,
Tinta de Madeira,,cl4P6A3,,1964,28/8/1964,,,22/1/1965,"variety ID, clone number not given",2015-07-14 16.41.47.jpg,,,
Ezerjo,1612,721A8,,1992,8/9/92,,,19/2/1993,clone number not given,2015-07-14 16.53.58.jpg,,,
Sarfeher,1614,717S9,,1990,29/8/1990,,,28/1/1991,clone number not given,2015-07-14 16.55.31.jpg,,,
Sarfeher,1614,717S2,,1986,8/9/86,,,5/1/87,clone number not given,2015-07-14 16.55.37.jpg,,,
